# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch165,17.5,13,17.5,15.5,19.5,10.5,17,14.5,16.5,19,13.5,12.5,18.5,13.5,17.5,14.5,15.5,10,16,13.5,19,11,16.5,11,15,13,18.5,17.5,10,11,19.5,11.5,11,16.5,19,16.5,16.5,17.5,18,14.5,12,10.5,14,18,15.5,13.5,14,14.5,17,10,13,15.5,18,17,15.5,16,14,18,13.5,10.5,12.5,11,19,13.5,11.5,13.5,17.5,12,11.5,18,12.5,13,16,10,11.5,19,17,12,17.5,16,14.5,18.5,17,13.5,14,14,16.5,11,14.5,15,17,18,10.5,10.5,13.5,18.5,12,13.5,11,13.5,15,14.5,19,10.5,14.5,18.5,13,16,19.5,16,18.5,17.5,18.5,11.5,18.5,15,16.5,13,11.5,17,14,11,11,17.5,18,11,13,14.5,19,15,19.5,14.5,18.5,11.5,16,13,16.5,15,15,13.5,15,13.5,12.5,13.5,19.5,16.5,15
Ch169,11,16.5,14.5,17,16.5,19.5,18,14,15.5,13.5,10,13.5,14,13.5,15,12,17.5,14.5,18.5,14.5,17,14,17.5,16.5,13.5,11,16.5,18,18.5,16,18.5,10.5,13.5,19.5,15.5,10.5,13.5,18.5,14,16.5,12.5,16.5,17.5,13,19.5,19.5,10,15,19.5,10.5,12,19,19,12,16.5,13,19,14,13.5,11,18.5,19,13.5,17.5,12,17,19.5,17,19.5,13.5,11.5,18,15.5,13.5,11.5,19,14,16.5,17,12.5,17,15.5,16,18.5,16,14,12.5,15,19.5,18,16.5,13.5,14,18.5,15.5,19,12,11,18.5,12.5,16.5,15.5,15,17.5,19,13.5,19.5,17.5,18.5,11.5,17,10.5,13.5,11,16,15.5,11,16,17.5,11.5,14,13.5,10,19.5,10,18,13,16,12,15.5,10.5,15,13,15,14,19.5,16.5,13.5,14.5,14.5,11.5,18.5,10.5,16,13.5,17.5,14.5
Ch173,16.5,19,11.5,18,11.5,13,17,17.5,18.5,10.5,13,18,12.5,18,16,19.5,14.5,18,16,10.5,12,17,12,18,14.5,18.5,15,14.5,14.5,16,11.5,14,17,13.5,11.5,14.5,18.5,15.5,17,16.5,15,12.5,17,17,11.5,19,11.5,13.5,15,14,18.5,10,13,15.5,12.5,13,12,13.5,18.5,14.5,18.5,14.5,15.5,18,10.5,17,13.5,18,16.5,13,12.5,18,12,10.5,15,10,15.5,11,18,14.5,18.5,12.5,19,19.5,12,11.5,15.5,14,12.5,19,11,17.5,12,15.5,14,14,14.5,12,10,12,19.5,10,10.5,16.5,11,16.5,17.5,17,13.5,16,10,18.5,18,14.5,14.5,16.5,12,19.5,13,14,19.5,14.5,13,18,14.5,15,15.5,18.5,18,19.5,16,15.5,15.5,11.5,11.5,18.5,13,13,17,15,17.5,17.5,17,17,14.5,10,10.5
Ch177,15.5,19.5,15,11,19,13,15,11.5,15,12,10,16,17.5,16,14,19,17,16.5,13,11,18,19,12.5,15,11,11,10.5,11,10,19,16.5,16.5,12,11,16.5,19.5,10,17.5,17.5,19.5,17,17.5,10.5,12.5,16,11.5,10.5,19,16,15.5,17.5,10.5,14,12.5,19.5,19,14,16,19,18.5,18.5,11.5,15.5,11.5,10.5,13,14.5,11.5,16.5,12,15,11,18,18,12.5,11,12.5,10,17,18.5,15,13.5,19.5,18,14.5,19,18,12,19.5,15,19.5,13,18.5,13.5,16.5,17,18.5,19,15.5,13.5,11,10.5,16,17,14,16.5,16,18,15,13.5,19,16.5,11.5,17,12.5,12,12.5,10.5,16.5,19.5,12,14.5,15.5,10.5,14,13.5,15,15.5,15.5,15,19.5,17.5,13.5,14,16,13.5,16.5,13,10.5,11.5,15.5,15.5,11.5,11,15.5,18,19.5
Ch181,12,18.5,11.5,14.5,19.5,17.5,11.5,16,13,19,16,16,18.5,11.5,14.5,12.5,13,15,18.5,10,11,11,16,11,13,11,14,13.5,13.5,18.5,18,14.5,14,19.5,12,11,12,18.5,18,12.5,11,19.5,10.5,17,11.5,10.5,11.5,19.5,14,10.5,12.5,19.5,19.5,11,12.5,17,12,17.5,11,17,18.5,14.5,14.5,15,15.5,17.5,13.5,16.5,12.5,17.5,18.5,16,11,16,18.5,13,16,14.5,17.5,18.5,11.5,19.5,18.5,19.5,17.5,16.5,19.5,11,12.5,14.5,11.5,16.5,16,16,18,15,13,13,17,19,10.5,18,18,10.5,16.5,14.5,11,17.5,12,13,14.5,11,18,11.5,17.5,17.5,16.5,10,18.5,12.5,17.5,17,19,15,12.5,17,14.5,18,19.5,15,17.5,16.5,18.5,12.5,12,14,15,19,15,13,15.5,17.5,15.5,19.5,17,18,10.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 6G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 6G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,15,12,17,10.5,10,13,12,14,13,12,19.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,17.5,17,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch5,11,17,12,12,11,15,11,17,15,11,11,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,11.5,17.5,11,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch9,14,10.5,10,18,13,12,16,11,12,16,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13.5,18.5,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch13,10,14,17.5,15.5,10,18,17,12,18,17,15,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,10.5,17,15,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch17,14,16.5,17.5,13,10,13,12,14,13,12,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,13.5,18,16.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch21,12,12,13.5,19,11,15,11,17,15,11,15.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13.5,17.5,15,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch25,17,18.5,12,17.5,13,12,16,11,12,16,13,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,10.5,15,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch29,15,15.5,11,18.5,10,18,17,12,18,17,11.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,10,17,19.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch33,14.5,15.5,15.5,14.5,10,13,12,14,13,12,18.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,11,19,13.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch37,19,13.5,15.5,16.5,11,15,11,17,15,11,16,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,15,16,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch41,17,14,17.5,18.5,13,12,16,11,12,16,18,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,17.5,12.5,17,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch45,14.5,11,13.5,19,10,18,17,12,18,17,11,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13,16,16,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch49,17.5,13,17.5,15.5,10,13,12,14,13,12,12.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,10,11.5,12,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch53,11,16.5,14.5,17,11,15,11,17,15,11,13,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,17.5,13.5,17.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch57,16.5,19,11.5,18,13,12,16,11,12,16,16.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14.5,12.5,14,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch61,15.5,19.5,15,11,10,18,17,12,18,17,15,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,13.5,10.5,10.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch65,12,18.5,11.5,14.5,10,13,12,14,13,12,14.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,12.5,15.5,16.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch69,15,12,17,10.5,11,15,11,17,15,11,15.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,15,18,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch73,11,17,12,12,13,12,16,11,12,16,10,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,14,11,16.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch77,14,10.5,10,18,10,18,17,12,18,17,13.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15.5,19,11.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch81,10,14,17.5,15.5,10,13,12,14,13,12,12.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,17.5,15,13.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch85,14,16.5,17.5,13,11,15,11,17,15,11,19,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,17.5,11,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch89,12,12,13.5,19,13,12,16,11,12,16,10.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,16,14,16,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch93,17,18.5,12,17.5,10,18,17,12,18,17,13,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14.5,17,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch97,15,15.5,11,18.5,10,13,12,14,13,12,19,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,14.5,10,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch101,14.5,15.5,15.5,14.5,11,15,11,17,15,11,16.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,13.5,11.5,13.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch105,19,13.5,15.5,16.5,13,12,16,11,12,16,18.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,17.5,12,17,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch109,17,14,17.5,18.5,10,18,17,12,18,17,19,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,18,10.5,17,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch113,14.5,11,13.5,19,10,13,12,14,13,12,14,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,11.5,10.5,13,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch117,17.5,13,17.5,15.5,11,15,11,17,15,11,16.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,15,15.5,17.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch121,11,16.5,14.5,17,13,12,16,11,12,16,15,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,17.5,17,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
